,txt,label
35,다른거다둘째치고내가본영화중에 젤웃김ㅋㅋㅋ,1
36,튕깁니다,0
37,26~7살에 이런 놀라운 연기를...천부적 소질을 가진 것이 아닐까,1
38,솔직히 빅뱅팬질 오래했는데 기사만 보고 승리가 그런식으로 말했다길래 미쳤나 싶어서 반응 보니깐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ화신 미쳤넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 승리도 그렇게 해명했지만 피해자인건 사실인듯 ㅋㅋㅋㅋ 그나저나 김준호 김대희 진짜 멘탈 갑임 ㅇㅇ,1
39,"ㅋㅋ재밌다..해적되서 배타고싶어졌음 모험돋음, 괴물들도 다양하고 세상의끝에서 떨어지는거랑 멋짐 .친구의여자를 차지한다는것은 예외였음",1
40,스펙타클한 전쟁영화로 알고 봤는디 이런 또다른 시각의 감동이 있을줄 그것도 이런 테스크포스 부대가 실질적으로 존재했다는게 감만에 실화영화 잘봤어얔~,1
41,무슨 프로그램인지... 뭘 의도하는건지 모르겠는 프로그램.. 황금시간대 이런 프로그램 하는거 자체가 이해가 안됨..,1
42,메린이 파괴된 장비 질문,0
43,마라벨 기수별로 자석펫 다 있나요?,0
44,기름지다..,1
45,한국영화 참아라,1
46,전형적인 재벌남성과 결혼하는 영화ㅋㅋㅋ 이 영화 좋아하는 그룹이 20대여성임 더 이상의 설명은 필요없겠지?,1
47,완전 재밋기만 하고만,1
48,"다큐멘터리류 좋아하시고,마음이 부드러워지길바라신다면 ㄱ",1
49,그럼 평생 그냥 정지임..? 이유도 모르고?,0
50,보는 내내 가슴이 아팠지만 이게 현실이라는게 참으로 속상했습니다.,1
51,"재미는 있었는데 공주도 보낼거면 왜 전쟁했는지 모르겠네?? 처음 조건이 공주를 달라는 건데 마지막에 공주 주면 죽은백성들은 뭐가되나, 이런게 일본에선 영웅으로 치나본데?? 우리나라같으면 또라이 살인자인데 ㅎ",1
52,장비 가격,0
53,그만하세요 여자이기전에 아내이기전에 엄마에요 애써 가정을 지키려는 사람한테 남의가정 깨고 기자분들은 좋은꼴 당할줄 아십니까,1
54,이 가위는 어떻게 얻을수 있나요?,0
55,감독이 똥싸놓고 치우진않음...,1
56,여자 에 대한 하대 번역 언제까지 할것인가.,1
57,영화가 아니라 아주 큰 똥을 만들어 놨네,1
58,평점 좀 높여줘야 당근인 영화~ 마음이 따뜻하고 좋네~ㅋ,1
59,크로아 해인 해니 닉,0
60,"원작의 맛을 살리는데에 조금은 아쉬움이 남았으나 그래도 좋다,.",1
61,와 진짜 너무한다ㅜㅜ 시간아까워...ㅜㅜ,1
62,진짜 슬픈영화인데 니콜키드먼이 이뻐서 좀 가렸다.;;,1
63,막장내용이 많았다. 아나운서가 말하는 듯한 국어책연기도 있었고,1
64,완전 짜증남.내용이..도대체 뭐가 결혼의 여신이라는건지..불륜의 여신이 맞겠네..어제 보는데 넘 짜증나서 앞으로 안볼것임..정말 한심한 드라마..차라리 조민수 나오는 부분만 분량을 늘렸으면..그부분만 잼남..앞으로 안볼것임,1
65,개인적으로 등장동물들 특히 쟈니의 털이 무척 탐스러워 만져보고 싶었습니다,1
66,궁금한게 있어여,0
67,설아헤어 모자류,0
68,해석도 해석이지만 쉽게 이해될 수 있게 만드는 것도 감독의 능력이겠지?,1
69,영화 끝나서도 여운이 남는 영화,1
70,이게 왜 5점대야.. 평점조절,1
71,말도안되는 OOO기 음모론 영화,1
72,뭐냐이게,1
73,아 정말진심으로재미없엇네ㅡㅡ이런영화 오랜만이다ㅡㅡ,1
74,내가본 가장 최악의 영화.,1
75,나도 커스드 사고싶다,0
76,다이너소어 후속편도 나왔으면 좋겠네여ㅎㅎ,1
77,이것도 토드용으로 팔리나요?,0
78,[시사회관람기] 이러케 글올리는거 첨이네요. 이영화 대박맞습니다.대박!^^,1
79,파랑새의 꿈,0
80,"진심성이란 건 기대하지 말라, 시각적인 황홀경이나 즐겨라!",1
81,박진영! 항상 순수함과겸손 포장되지않은 솔직함 닮고싶다,1
82,보는 내내 어리둥절; 왕따는 안나가 아니라 관람객이었다.,1
83,자사권 부족한데 어떡하죠?,0
84,전편보다 스토리 쉬망이며 여주는 조연감이다,1
85,언더 더 스톰은 어디 영화임?,1
86,알파치노의 대표작,1
87,프랑스다운 영화. 잘 만들긴했으나 공감은 안 됨.,1
88,평점 어마어마하게 높네;;;; 빨리 낮춰야 할듯 5점이 적당한 영화.,1
89,ㅋ잼나네요 나름,1
90,소재 좋았고 당시 톱스타였던 김희선의 출연을 감안한다면...,1
91,루나 석궁 레어 3줄 얼마,0
92,와 진짜 경험치 뒤지게 안오르네요,0
93,이거 별 빵게 없냐??올레 한테 돈 기부 했다이 돈 먹고 고객만족 좀 시켜라이딴 영화 탑에 올리지 마라내가 봤을땐 탑3였는데 이젠 탑2됬더랔ㅋ,1
94,이런 건 예비군 훈련장에서나 상영해라.,1
95,역시는 역시 역시다. 13년 전 작품이지만 여전히 세련된 느낌이다. 장면 하나하나 머릿 속에 남는다. 여운이 오래갈 듯하다!,1
96,초딩용 실사영화보다 못한...,1
97,손까략넣고 토하는게없댜,1
98,노작 여제 스태프 14366 팔리나요?,0
99,소품과 효과가 산만함을 가중시키나 괴짜의 영상 전개는 독특.,1
100,자사스킬,0
101,아케인 서버인데 이 잠재 얼마정도 할까요?,0
102,메린이 보스전리품 (거의 다 가지고있는 경우는..),0
103,줄거리나 배우들의 연기 짱!!,1
104,할말 없게 만들어주는 영화,1
105,"음악과 회화가 어우러진, 주변에서도 일어날 수 있는 잔잔한 로맨스! 재밌게 잘봤어요",1
106,장난감 길드에서 행메 고? 길드원 구함 ~(^w^)~,0
107,솔직히 이영화 9점대는 받아야 한다고 생각합니다,1
108,팝니당,0
109,희래엄마 진짜 주다해보다 더싫음 ㅡㅡ,1
110,모자 하나만 바꿨는데 딜차이 지리네요,0
111,"헬렌헌트의 영화를 오랜만에 보는데 내용이 그다지 와닿지가 않네요,",1
112,5천원 서로 얻어요,0
113,피로회복에 좋은 수소영양제 추천이요,0
114,스카니아 우트맥강 듀얼보우건 괜찮은 거 135억 안으로 삽니다!,0
115,종료를 떠나 한 사람의 위대한 일대기에 감동..,1
116,"긴장감도 없고, 재미도 없고, 주인공이 멋있지도 않고.... 제작비가 아깝다!",1
117,장난??????????유익하지 않음.ㅋ,1
118,20년전의 장만옥과 주윤발을 보는 재미!,1
119,감동을 가장한 사악한 영화. 거짓말 투성이 영화. 현대의 부패를 옹호하고 합리화 하고 홍보하는 영화,1
120,자석펫가격,0
121,140나로 템 셋팅,0
122,아놔 이 영화 정말 좋던데..,1
123,낰였다 티 프리미엄ㅡㅡ 인간적인 면이 쫌 맘에 들어서 2점줬다 근데 진짜 이선균 정재영 김상중 연기파배우들 불러노코 이딴 쓰레기 영화 찍냐ㅡㅡ 진짜 영화보는데 계쇠 지루하고 괴로웠다ㅡㅡ,1
124,현질 할라는데 젤 가성비 좋은 패키지가 뭐임?,0
125,역시 이것도 쓰레기,1
126,프랑스영화의 한국버전을 본듯한 느낌~~ 엄지원때문에 1점 추가~90분짜리 영화에 10분간의 리뷰를 읽고 20분간 '대체 뭘까?'를 생각해야하는 영화는 참.... 비추~,1
127,브리짓모이나한의 영화를 찾다가 보게되었지만 이런 엉성한 플롯의 b급 영화가 7점대 평점이라니 네이버 평점 뻥튀기가 너무 심하다. 5점정도가적당함.,1
128,진짜 방향키로 스킬나가는거 잠금좀해줘...,0
129,평점조절위원회,1
130,평점이 너무 낮네요.실화라서 그런가요?,1
131,쓰랙,1
132,제제풀어라 빨리 뚜겅열리기전에,0
133,시아등 전망 어떠냐,0
134,100제 유니크 세트 맥강하는데 보통 얼마 드나요,0
135,감독의 사교력이 대단한가봐요. 이런 영화를 만들고도 상 탔을 땐.,1
136,스카 이끼역역192렙/파경45이상 200까지달리실분,0
137,꼭 3번보시길 ... 최고의 일본영화,1
138,영화보면서 욕할라고 들어오기는 첨이다 정말 한마디로 추잡스럽다 영화가...더럽고 ...연산군이 저렇게 미친갱이였나? 좀 과하네,1
139,이영화보고 영화결핍증 걸렸다ㅡㅡ;;,1
140,뭐냐오늘 ??,0
141,시간여행의 모순을 상당히 잘 잡아낸영화,1
142,성형을 돌려보았어용 (부계2),0
143,귀엽고 미소가 머금어지는 영화!!,1
144,어라? 인도영화 의외로 괜찮은 면이 있네요,1
145,한사람의 파멸을 적나라하게 드러내 준 영화,1
146,군대 체력검정 불합격 클라스.jpg,0
147,지루한 전개 ... 평점이 너무 높다..,1
148,싸전귀 버그? 오류?,0
149,최고 감성 터짐,1
150,스카니아 데스왈츠ㅍㅍ,0
151,감독 면상에 쏘고 싶다..,1
152,메린이들 노여 버스구걸 왜케 하는거냐,0
153,다 큰 분께서...,1
154,pierrot에서 격숍 /빡격 모십니담,0
155,보스캐릭터...,0
156,와 ㅋㅋㅋㅋㅋ 방금 22셋 맞추고 카여갔는데 저세상 딜나오네,0
157,이번건 안보는게 좋음 노잼임,1
158,파괴복구 질문점여,0
159,여제어깨 얼마가 적당할까요 ..?,0
160,메린이 직업추천,0
161,어이가 없다;;;,1
162,친구신청한거 취소,0
163,감독을 마파도로 보내고 싶다.,1
164,진짜 말이필요없음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
165,아련한 영화,1
166,이거9억에샀는데 잘산건가요,0
167,아니 근데 너네 왜 유저기만하냐,0
168,카벨 꼬리는 잡기전까지 나오는건가요?,0
169,진짜 내가 이걸 왜 이제야 봤는지 의문이다진심 딱 내나이라그런지 공감되기 좋은소재에보다가 눈물이 다나더라,1
170,꽤잼있음~~ㅋㅋ웃음짓게하는애니~,1
171,오빠 나 손떨려..,0
172,북괴 빨갱이 영화가 한국에서 버젓이 개봉하는건가?,1
173,계속 그냥 돌아가며 총쏘는 걸로만 끝나는 싱거운 스토리에 당황... 서바이벌 과정이 너무 빨리 끝나서 긴박감이 오히려 반감됐음. 솔직히 결말 등의 부분도 이미 많이 쓰는 클리셰였음.,1
174,진짜 여자 주인공이 호박..,1
175,장진이 무척 역겨워진다,1
176,0점은 없나요? 이것이야말로 평생 본 수많은 영화중에 최악의 쓰레기네요,1
177,17년만에 켜본 고전 게임기,0
178,전혀 기대 안하고 봤는데 넘 재미있네요... 현실 몰입도가 너무 높네요.,1
179,"'진부함을 뛰어넘은 그 위대함, 음악과 가족으로 이루어진 영화다'",1
180,확률조작,0
181,재밌게 봄 역시 명작인듯,1
182,너무 가슴 아프다..ㅠㅠ,1
183,안봐도 되는 영화.,1
184,스카섭 메소 ㅍ,0
185,저만 접속안되나요?,0
186,이거 원래 비올레타 뜨는 겜인가요;?,0
187,별 0개는 왜 없는거야??이게 영화니? 내 돈도 아닌데 제작비가 왜 아까울까.,1
188,레벨별 최대메소 뭐였지,0
189,폭성비를 주는건 또 뭐야??,0
190,어릴때봤던영화. 너무좋은기억으로남아있어서 최근에 다시다운받아봤다.나...어릴땐어떤아이였던걸까.. 이영화가 그렇게 좋은느낌으로남다니.. 부모와자식의 관계를 너무 가볍게생각했었나. 영화를 다시보면서 도저히 쭉보고있을수가 없을정도로 불편하다.,1
191,예전에 재밌게 봤던 영화.,1
192,개똥철학만 잔뜩,1
193,흥행에 실패한 이유는 따로있었다...,1
194,블레이드시리즈는케이블티비에서많이해주는재미있는영화다,1
195,임시점검보상,0
196,멋진 영화화,1
197,디노펫 알차게 써주마.ㅋㅋㅋ,0
198,자쿰 원정대,0
199,로버트드니로+알파치노=명화. bacause she got a great ass!! ㅋㅋㅋㅋ,1
200,이런 세기말적 영화가 좋다.. 생각이란걸 할 수 있게하는 영화. 에바그린의 연기는 최고였고. 개인적으로 눈먼자들의 도시 보다 나은 듯...,1
201,최고의 산악 액션 영화,1
202,전설오직전설적인코미디,1
203,good,1
204,파프니르 강화 넘힘듬 ㅠㅜ,0
205,아니 아이폰 유저들 서버는 관리 안해주세요??,0
206,"아침에 교회갔다오면 중반부터 봐서 아쉬움이 남았던 드라마다....흐규 그래도 당시에는 TOP스타들이었던 안재욱, 김혜수, 이종원,채림등이 출연해 많은 인기를 끌었던 드라마",1
207,배우의 눈물 연기가 거북하게 느껴진 건 이영화가 처음이었습니다.. 한마디로 안습임,1
208,줄거리 는 남부러울것 없이 커온 오로라가 까칠한 황마마 작가를 만나면서 벌어지는 당돌하고도 순수한 사랑 이라하는데 남주인공 교체 된거임? 선전 때릴때는 황마마랑 불꽃튀는 사랑이라는데 황마마는 결국 남주인공에서 짤린거임 ㅜㅜ 설설희가 윈이다,1
209,생각보다 캐논 170 하이퍼스킬 약하넹?,0
210,tv에서 봤는데 가족적인 영화임 ㅎ,1
211,콜린퍼스 연기에 소름돋는다..ㅎ,1
212,"잃어버린아이들의도시,그동안왜안봤을까?너무좋았음DVD사러갈거임",1
213,최고 병맛같은 영화..,1
214,중국 이야기라서 안보려했는데 감동 돋네요 실화라니 ㅠ 꼭 보세요!!!!,1
215,조도로프스키는 분명 외계인이다.,1
216,페이탈리티 없는것만 빼면 그당시에 정말 잘 만든 영화,1
217,옛날건데 존내 재밌어ㅋ,1
218,"아기공룡쭈쭈, 티라노의 발톱 수준의 개떡같은 CG.. 잠깐 보고 지웠다ㅡㅡ",1
219,'킥킥' 길드원 모집합니당,0
220,꼭봐아야할영화..우리나라도이렇게될지모름,1
221,17년전영화! '-' 다시들리는 <Etude op.10 no.3> and rock'n'roll,1
222,패파 하이퍼스킬 161부터 뭐찍어야해..,0
223,스카 제논 질문입니다.,0
224,메이플스토리 도도 레전드,0
225,보고나면 이게뭐야 이소리 나옴,1
226,사람들이 아무리 그래도 그렇지 평점을 이렇게 박하게 줘서 쓰나 ㅉㅉㅉ~ 그래도 천녀유혼을 다시 떠올리게 한다는 점이 가상해서 원래 생각했던 평점에서 후하게 10배 준다~,1
227,견자단 액션만으로 최고였음...,1
228,공갈 수사물. 화면 색감은 탁월하다.,1
229,아케인 억당 메포24000,0
230,2프로 빼고 98프로가 부족한느낌,1
231,진입 포기...ㅠ,0
232,여제 패파 무기 떳는데 깡공 아쉽네,0
233,111패파 유저인데요,0
234,와 이게 뜨네,0
235,ㅇㅇ.. 슬픈이야기 였다.. 웃긴부분도 조금 있었지만,1
236,가만히 보고만 있어도 씨익 웃음나는 행복한 가족의 이야기,1
237,꼬라기 非추천 영화.... the 10th ?상실 → 상처 → 후회 → 추억 →→→ 그리움 ....삶이 당신을 必要(Necessary)로 하고 있습니까?아니면.... 당신에게 삶이 필요합니까?http://me2.do/FJtbrCiA,1
238,이번 패파로 메m에 관심생기신분 필독,0
239,인간이라면 이 영화에선 두번은 무조건 울게된다. 탐 크루즈가 아카데미 주연상을 못 받은게 믿기지 않는 영화.,1
240,요즘 껀 별로...,1
241,미니미 손오공의 연기에서 주성치의 향기를 느꼈다ㅠㅠ이름만으로도 브랜드인 주성치가 역시 이름값하는 작품.,1
242,패파 커스드 헌터 셋 캐시템 파는거 기간 끝나면 경매장 가격 오르나요?,0
243,너무 재미있어요.그런데 멸점 7.13은 심하네요.,1
244,레드포드의 팔뚝의 다이아몬드.진정한 사랑이라고 생각합니다,1
245,일베들ㅋㅋ 어휴노답이네,1
246,나도 데려가 싸게 샀당 히히히,0
247,1탄11점 2탄10점 3탄9점 주고싶다,1
248,이 감동을 어떻게 말로 표현해야 할라나..,1
249,앜ㅋㅋㅋ 서리한이라닠ㅋㅋㅋㅋㅋ,1
250,마지막 장면과 음악 모두 최고,1
251,지들것도 아니면서 작작우겨라 독도도 문화도 ㅡㅡ,1
252,스카니아 메소 관심있으신분,0
253,"명작이네요.대대적인 마케팅을 내세운 상업적인 영화보다 이런 영화가 더 많이 흥행하길 바랍니다. 아마 대부상이 몰라서 못 보고 있는 듯 해서 안타깝네요. 저도 우연히 보게 됐는데, 여운이 남는 멋진 영화네요^^",1
254,지들 답변 할 시간은 없고,0
255,비숍 무기가격..,0
256,이런걸 두고 하는말이있다 넘친다 혹은 수작이다,1
257,온라인 메이플 id,0
258,아케인서버 자석펫 시세,0
259,스카니아 ??,0
260,탄탄히 짜여져 있는 스토리에 배우들 연기력도... 끝나서 너무 슬펐습니다 ㅠ,1
261,이것이드라마고써서올리는가그냥작가포기하는게도와주는거같다는생각이들어,1
262,보면서 눈물이 났고 가슴이 먹먹했다.,1
263,스타일뿐...그외에는 아무것도 없는 영화,1
264,이미군대면서군대가아니라고우기는웃긴영화.미국영활그대로배낀.,1
265,볼만허고 재미있습니다,1
266,평점 지나치게 높다... 느려터진.. 전개 방식에.. 참을수 없는 분노에 내가 무간에 빠질것 같다.,1
267,레라벨 2억 팔기 vs 스라벨 1.5 구입하고 합성하기,0
268,B급싸구려 3류 액션영화 치고는 믿을수 없을 정도로 제법 진지한 영화,1
269,패파 140의상 보상,0
270,뭐가 아름다워 온몸뚱이가 아예 인조인간이더만... 면상도 어색하게 생겨가지고 칼댄거 다 티남. 언니인지 형님인지 뚱돼지는 걍 꺼지고,1
271,김창완씨 연기력하나는 끝내주는데 그거빼곤...,1
272,킬링타임용으로 굿굿,1
273,히어로즈 m +_+,0
274,옵션좀 봐주세요!,0
275,성쿠 15장먹은 루시드버리고,0
276,스탤론 행님의 레전드 걸작이제영원히 살아 있네 졸라 재미있게잘 즐겨 봤다,1
277,메린이 로얄스타일 3트,0
278,반지 강화,0
279,그..하나의......,1
280,엄자본 성능 좋은 캐릭터 하나 추천 부탁드림미다,0
281,신 구 의 조합~~,1
282,밑에 평론가ㅋㅋㅋㅋㅋㅋ 내 배꼽ㅋㅋㅋㅋㅋㅋㅋ,1
283,무고벤 극혐,0
284,어릴적 명절때면 언제나 보고 감동.,1
285,좋은배우를 효과적으로 살리지못한 졸작..,1
286,지금의 한국젊은이들은 어떤 생각을 할까...,1
287,"솔직히 1점주기도 아까움 슬퍼서 몰입할라하면 cg가 쓰레기고 또 몰입좀 할라하면 너무 억지스럽고.,. 그냥 너무 억지스럽고 억지스럽고 억지스러움 보다가 짜증나서 티비 부실뻔",1
288,마스터 블러드 헤어쿠폰 묵힐까요 팔까요?,0
289,하이퍼스킬 최종뎀부터 올리나요?,0
290,패파 메린이인데 레벨당 사냥터 추천좀요 현재 130입니다,0
291,태국공포영화도 점점 허술해져만 가는가..,1
292,정말 매력적인 영화세번 이상 본거 같네요,1
293,같이보던 와이프가 한마디 하더군요..저거 후레쉬맨 아냐? ㅡㅡ;;,1
294,이런 좋은 영화가 더 많이 홍보되어야할텐데요,1
295,에반114,0
296,굿,1
297,12년전 영화라는 이유로도 용서가 되지 않는다.,1
298,영화 피구왕 통키와 쌍벽이다재정신으로는 절대 만들 수 없다.,1
299,장동건의 오지랖이 스토리를 이상하게 만드는구나 나머지 배우들 연기좋습니다,1
300,"정의, 도덕, 교양, 법, 상식, 인간성, 정직 등 모든 덕목이 사라진 시나리오.",1
301,"이때 일본은 에반게리온 ,비밥등 시대를 넘는 대작들이쏫아지지만 우리나라는 임꺽정",1
302,스카160장갑,0
303,스펙업..스페ㄱ업...ㅡㅏ아ㅓ으ㅏ,0
304,극장에서 돈이 정말 아까웠던 영화..졸리씨에게 무지 실망했던.,1
305,세영이의자매 였다하나 소매치기에 뺑소니 눈감아주려하는 민들레.세영이나민들레나다를께뭐있나 주인공이라봐주어야하나 민들레를동점심불쌍함으로봐주어하나운좋게주위사람잘만나거기에서딱부러지는성격인가했더니성격이착한척움흉한건가갑자기이야기상아버지죽임것도개운치않은데,1
306,해리슨포드여 인디아나 존스로 부활하라 ㅜㅜㅜㅜ 아 가슴아파 ㅜㅜㅜ,1
307,비디오 용으로도 아까운 4류영화,1
308,"힘있는 대사와 화면, 주제에 대한 다각적 이해와 탁월한 엔딩.",1
309,잘보고갑니다. 정서윤 화이팅!!!,1
310,마라벨세트,0
311,1재미의 발톱의 때도 안되는 영화.딱 하나 웃긴건 방구 밖에 없었음.,1
312,기본뎀스(유닛) 이거,0
313,어디서 웃어야 할지 모르겠음......... 처음부터 끝까지 일관된 표정으로 봤어요.,1
314,모야... 훈련만하다 끈나네..차라리 스파이키드가 더 잼나게씀... 이건 뭐 유아용 영화그만 뭐 이런영화에 절케 화련한 cg를..그래픽이 아까워서 3점준다...,1
315,123444567890-,1
316,나로 하이퍼 스텟 스킬 알려주세여,0
317,한 멍청한 유대인 남자의 인생 그이상 그이하도 아니다,1
318,김예림이랑엘이랑연결하기만해봐 ㅋㅋㅋㅋㅋㅋㅋㅋ,1
319,ㅎ나름 볼만 했어요~^^,1
320,세상이 만만하냐?,1
321,연무장 밤샘팟 구합니당,0
322,접속하면 게임 꺼지시는분들,0
323,"1,2 편만큼 재미있던데...4부터는 아니지만 3는 진짜 재미있게 봤어요!!",1
324,<핫초코> 길드에서 코디왕 소통왕 구해요!,0
325,내생의 최고의 드라마,1
326,부디 좌빨들이 이걸보고 제정신을 차리면 좋겠다.,1
327,200 이전 동스펙 기준 나로 VS 데슬,0
328,소마 160무기 질문드려유,0
329,유명 배우들이 나온다고 다 되는 것은 아니라는 것을 보여준 영화,1
330,간만감동~~ 별 다섯개,1
331,지금 점수는 너무 적다 충분히 8점대는 할수있는 영화 단순액션과 결과주의적인 스토리가 아닌 각 인물의 심정을 느끼면서 보면 충분히 좋은 드라마적요소가 강함 재밌음,1
332,cjs,1
333,기억속에 깊이 남은 로맨스영화,1
334,"학교에서 보고 있는데 좋네요,, ㅋㅋ 제가 태어나기도 전에 개봉한 영화지만요 ㅋㅋ",1
335,이런 영화가 만들어져야 한다. 그래서 문제청소년들이 꼭 한번쯤 봐야하는 영화. 딸이 성폭행당하는 동영상을 바로 앞에서 지켜보는 아버지의 심정이 어땠을까..,1
336,역시 드니로의 연기는 일품 나도 맥스가 샘을 죽이길 바랬다,1
337,"초반10분 자동차씬말곤 볼게없음, 어찌 시리즈중 1이 젤쓰레기냐...B급액션,B급영화",1
338,칭찬해 주고 싶을 정도로 성실하고 게다가 감각적이기까지 한.,1
339,이득인 부분?,0
340,형들코디한번씩만보고 투표점여!!,0
341,이게 평점 7이라고?? 말도안된다 존나잼있다..재미도잇고 교훈도있고,1
342,접속이 안되네요..,0
343,시대상을 이해 해야만 하는 영화 연결고리가 부족해보이는 건 이것 때문임 단순한 멜로를 보시러 오는거먄 차라리 보지말길바람,1
344,오래오래 간직하고 싶은 영화. 일상이 잔잔해지길 원한다면 언제든지 꺼내 보시길,1
345,정지시킬시간은있고 1대1문의볼시간은없고?,0
346,개재밌음 게임유저라면 게임스토리가 보임,1
347,"김하늘 첫 악역연기 볼만하고 나머지배우, 그리고 카메오들 연기도 재밌다.",1
348,1편에 비하면 너무 졸작,1
349,카페에 거래글 올리면 안되나여?,0
350,윈브도 메세처럼 지강으로만들어줘,0
351,재미있는데 그렇게 재미잇진 않다.,1
352,연출이고 기획이고 뭣도 없는 영화,1
353,"지루한내용이 90% 스릴도 없는, 사실상 망한스토리",1
354,언제봐도 재미있는 만화.,1
355,은현수 너무 답답한캐릭터 보고있음 짜증돋아요ㅡㅡ아 연기도 그닥,1
356,평론가 명치를 겁나 때리고 싶다. 정말 이 영화 재미없을거라 생각했는데 재미도 있고 내 인생에 도움이 가장큰 영화입니다. 본인이 깨달고 싶으면 꼭 보세요. 인생을 바꿔줄겁니다.,1
357,메린이 140제 2셋 질문,0
358,이 영화는 최고다. 그냥 최고야 그런 줄 알아,1
359,뭐야 왜저래 이말만 반복;;,1
360,그닥 재미 없어요 평점 5점 정도면 적당할듯,1
361,보다가 모니터에 비비탄총 쏴댄 영화. 완전 사기꾼들임,1
362,160~162 패스파인더 고정팟모집,0
363,아무리 뻔한 내용의 액션 스릴러 영화라지만 이렇게 연출이 허접한 영화는 참 할말이 없다. 전혀 몰입이 안되는구나....,1
364,배우들이 연기를 너무 잘해서 몰입을 제대로 할 수 있었고 실제로 일어날 수 있는 일이라 더 현실감있어서 스릴있었다 무섭게 생긴 귀신보다 사람이 백배 무섭다는걸 느꼈다 진심 재밌고 진심 무섭다 살인자연기 하신분 진짜 무서웠음....,1
365,아따! 왜 이리도 지루하오~!!나에겐 허무함이로세~!,1
366,매우 혼잡한 마드리드 시내 중심부에서 펼쳐지는 차량 추격신은 상당히 인상적이나 중간에 모든 패를 보여주는 어색한 시나리오에 이젠 메이저 영화 제작사 주연으로 거명되지 않는 윌리스와 위버의 이름을 올리는데 모든 공을 들인듯 하다,1
367,10점을 안 줄 수가 없는 드라마. 병원에서 연애질하는 한국병원드라마와는 차원이다름,1
368,유선방송에서 하는 중국드라마 수준정도하느듯..,1
369,누가 그녀를 미치게 했는가... 모르겠꾼..,1
370,자극적인 것에 익숙해진 현대인이 봐도 눈을 떼기 힘든 연출력.,1
371,스카니아) 동아 24시간 고정팟 한분구해여,0
372,스카꿀잼아 ^^,0
373,아나 진짜 내가 겁이 엄청많은데도 이건 정말 하나도 안무섭고 재미도 없어서 시간 버티느라 힘들어 죽을뻔,1
374,잉글랜드의 미래 해리 케인,1
375,스카 160 도적장갑,0
376,주옥같은 곡들이 많이 나와 좋았고 전기 영화로서 독특한 연출 방식도 신선했다.,1
377,아역들의 연기가 돋보이는 작품인거 같당!,1
378,"무척 아름다운 이탈리아 정경과 우수에 찬 조지클루니, 이방인 아메리카노 그리고 킬러의 고독감. 조지클루니의 존재감은 정말 대단히 매력적입니다.",1
379,최종병기활이 표절이었네;; 이 영화 2007년이고 최종병기가 2011년 ㅋㅋㅋ,1
380,이런게 진짜 감동이 아닐까 싶네여ㅎ,1
381,유잠10퍼 어디다 쓰는게 좋을까여,0
382,재미잇고 감동잇는 드라마엿습니다 배우분들 수고하셧어요~다음에더좋은작품으로뵛스면좋겟습니다.,1
